"trial","subj","bin","type","paras","para_1","para_2","para_3","full","text"
1,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the red ship?"
2,7,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship laying horizontal?"
3,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the red ship?"
4,7,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship vertical"
5,7,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many blocks is the purple ship?"
6,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the orange ship?"
7,7,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many blocks is the purple ship?"
8,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the orange ship?"
9,7,"horizontal(blue)","horizontal","1",1,NA,NA,"Is the blue ship horizontal?","Is the blue ship horizontal?"
10,7,"shipsize(blue)","shipsize","1",1,NA,NA,"How many tiles is the blue ship?","How many blocks is the blue ship?"
11,7,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many blocks is the purple ship?"
12,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the orange ship?"
13,7,"shipsize(purple)","shipsize","3",3,NA,NA,"How many tiles is the purple ship?","How many blocks is the purple ship?"
14,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the orange ship?"
15,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the orange ship?"
16,7,"shipsize(red)","shipsize","2",2,NA,NA,"How many tiles is the red ship?","How many blocks is the orange ship?"
17,7,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is the purple ship horizontal?"
18,7,"horizontal(purple)","horizontal","3",3,NA,NA,"Is the purple ship horizontal?","Is The purple ship horizontal?"
